Airline,Date,Flight_Duration,Stops,Time_total,class_type,Flight_price,From,To,Time_from,Time_to,Day_offset
Spirit Airlines,2023-12-01,12h 44m,1 stop,9:44 pm – 9:28 am+1,Economy,$82,BOS,ORD,9:44 pm,9:28 am,+1
American Airlines,2023-12-01,2h 48m,nonstop,6:52 am – 8:40 am,Basic Economy,$89,BOS,ORD,6:52 am,8:40 am,
Spirit Airlines,2023-12-01,12h 44m,1 stop,9:44 pm – 9:28 am+1,Economy,$82,BOS,ORD,9:44 pm,9:28 am,+1
JetBlue,2023-12-01,3h 01m,nonstop,4:54 pm – 6:55 pm,Blue Basic,$109,BOS,ORD,4:54 pm,6:55 pm,
United Airlines,2023-12-01,2h 57m,nonstop,6:00 am – 7:57 am,Basic Economy,$106,BOS,ORD,6:00 am,7:57 am,
JetBlue,2023-12-01,3h 00m,nonstop,7:05 am – 9:05 am,Blue Basic,$119,BOS,ORD,7:05 am,9:05 am,
Delta,2023-12-01,3h 05m,nonstop,5:45 pm – 7:50 pm,Basic Economy,$139,BOS,ORD,5:45 pm,7:50 pm,
Delta,2023-12-01,2h 59m,nonstop,6:05 am – 8:04 am,Basic Economy,$139,BOS,ORD,6:05 am,8:04 am,
American Airlines,2023-12-01,2h 58m,nonstop,5:40 pm – 7:38 pm,Basic Economy,$144,BOS,ORD,5:40 pm,7:38 pm,
United Airlines,2023-12-01,2h 57m,nonstop,6:28 pm – 8:25 pm,Basic Economy,$142,BOS,ORD,6:28 pm,8:25 pm,
United Airlines,2023-12-01,2h 57m,nonstop,4:16 pm – 6:13 pm,Basic Economy,$143,BOS,ORD,4:16 pm,6:13 pm,
Delta,2023-12-01,2h 55m,nonstop,2:25 pm – 4:20 pm,Basic Economy,$149,BOS,ORD,2:25 pm,4:20 pm,
United Airlines,2023-12-01,2h 57m,nonstop,11:35 am – 1:32 pm,Basic Economy,$169,BOS,ORD,11:35 am,1:32 pm,
Delta,2023-12-01,3h 04m,nonstop,10:20 am – 12:24 pm,Basic Economy,$179,BOS,ORD,10:20 am,12:24 pm,
United Airlines,2023-12-01,2h 57m,nonstop,9:46 am – 11:43 am,Basic Economy,$191,BOS,ORD,9:46 am,11:43 am,
American Airlines,2023-12-01,3h 02m,nonstop,3:30 pm – 5:32 pm,Main Cabin,$219,BOS,ORD,3:30 pm,5:32 pm,
American Airlines,2023-12-01,2h 59m,nonstop,8:30 am – 10:29 am,Main Cabin,$219,BOS,ORD,8:30 am,10:29 am,
Spirit Airlines,2023-12-02,12h 44m,1 stop,9:44 pm – 9:28 am+1,Economy,$82,BOS,ORD,9:44 pm,9:28 am,+1
JetBlue,2023-12-02,3h 01m,nonstop,4:54 pm – 6:55 pm,Blue Basic,$89,BOS,ORD,4:54 pm,6:55 pm,
