Airline,Date,Flight_Duration,Stops,Time_total,class_type,Flight_price
Spirit Airlines,2023-12-01,12h 44mBOS-ORD,1 stop,9:44 pm – 9:28 am+1,Economy,$82
American Airlines,2023-12-01,2h 48mBOS-ORD,nonstop,6:52 am – 8:40 am,Basic Economy,$89
Spirit Airlines,2023-12-01,12h 44mBOS-ORD,1 stop,9:44 pm – 9:28 am+1,Economy,$82
JetBlue,2023-12-01,3h 01mBOS-ORD,nonstop,4:54 pm – 6:55 pm,Blue Basic,$109
United Airlines,2023-12-01,2h 57mBOS-ORD,nonstop,6:00 am – 7:57 am,Basic Economy,$106
JetBlue,2023-12-01,3h 00mBOS-ORD,nonstop,7:05 am – 9:05 am,Blue Basic,$119
Delta,2023-12-01,3h 05mBOS-ORD,nonstop,5:45 pm – 7:50 pm,Basic Economy,$139
Delta,2023-12-01,2h 59mBOS-ORD,nonstop,6:05 am – 8:04 am,Basic Economy,$139
American Airlines,2023-12-01,2h 58mBOS-ORD,nonstop,5:40 pm – 7:38 pm,Basic Economy,$144
United Airlines,2023-12-01,2h 57mBOS-ORD,nonstop,6:28 pm – 8:25 pm,Basic Economy,$142
United Airlines,2023-12-01,2h 57mBOS-ORD,nonstop,4:16 pm – 6:13 pm,Basic Economy,$143
Delta,2023-12-01,2h 55mBOS-ORD,nonstop,2:25 pm – 4:20 pm,Basic Economy,$149
United Airlines,2023-12-01,2h 57mBOS-ORD,nonstop,11:35 am – 1:32 pm,Basic Economy,$169
Delta,2023-12-01,3h 04mBOS-ORD,nonstop,10:20 am – 12:24 pm,Basic Economy,$179
United Airlines,2023-12-01,2h 57mBOS-ORD,nonstop,9:46 am – 11:43 am,Basic Economy,$191
American Airlines,2023-12-01,3h 02mBOS-ORD,nonstop,3:30 pm – 5:32 pm,Main Cabin,$219
American Airlines,2023-12-01,2h 59mBOS-ORD,nonstop,8:30 am – 10:29 am,Main Cabin,$219
Spirit Airlines,2023-12-02,12h 44mBOS-ORD,1 stop,9:44 pm – 9:28 am+1,Economy,$82
JetBlue,2023-12-02,3h 01mBOS-ORD,nonstop,4:54 pm – 6:55 pm,Blue Basic,$89
Spirit Airlines,2023-12-02,12h 44mBOS-ORD,1 stop,9:44 pm – 9:28 am+1,Economy,$82
JetBlue,2023-12-02,3h 00mBOS-ORD,nonstop,7:05 am – 9:05 am,Blue Basic,$89
American Airlines,2023-12-02,2h 59mBOS-ORD,nonstop,8:30 am – 10:29 am,Basic Economy,$89
American Airlines,2023-12-02,2h 58mBOS-ORD,nonstop,5:40 pm – 7:38 pm,Basic Economy,$89
United Airlines,2023-12-02,2h 57mBOS-ORD,nonstop,6:28 pm – 8:25 pm,Basic Economy,$89
United Airlines,2023-12-02,2h 57mBOS-ORD,nonstop,4:16 pm – 6:13 pm,Basic Economy,$89
American Airlines,2023-12-02,2h 48mBOS-ORD,nonstop,6:52 am – 8:40 am,Basic Economy,$89
